at_date,product_id,version,name,release_date,link
2020-12-24,kubernetes/kubernetes,v1.15.10,v1.15.10,2020-02-11 22:22:38,https://github.com/kubernetes/kubernetes/releases/tag/v1.15.10
2020-12-24,kubernetes/kubernetes,v1.16.7,v1.16.7,2020-02-11 21:38:00,https://github.com/kubernetes/kubernetes/releases/tag/v1.16.7
2020-12-24,kubernetes/kubernetes,v1.17.3,v1.17.3,2020-02-11 20:00:06,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.3
2020-12-24,kubernetes/kubernetes,v1.18.0-alpha.3,v1.18.0-alpha.3,2020-02-04 17:31:00,https://github.com/kubernetes/kubernetes/releases/tag/v1.18.0-alpha.3
2020-12-24,kubernetes/kubernetes,v1.15.9,v1.15.9,2020-01-21 18:30:57,https://github.com/kubernetes/kubernetes/releases/tag/v1.15.9
2020-12-24,kubernetes/kubernetes,v1.17.2,v1.17.2,2020-01-21 18:30:14,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.2
2020-12-24,kubernetes/kubernetes,v1.16.6,v1.16.6,2020-01-21 18:27:32,https://github.com/kubernetes/kubernetes/releases/tag/v1.16.6
2020-12-24,kubernetes/kubernetes,v1.18.0-alpha.2,v1.18.0-alpha.2,2020-01-21 11:41:02,https://github.com/kubernetes/kubernetes/releases/tag/v1.18.0-alpha.2
2020-12-24,kubernetes/kubernetes,v1.15.8,v1.15.8,2020-01-16 17:33:08,https://github.com/kubernetes/kubernetes/releases/tag/v1.15.8
2020-12-24,kubernetes/kubernetes,v1.16.5,v1.16.5,2020-01-16 17:29:41,https://github.com/kubernetes/kubernetes/releases/tag/v1.16.5
2020-12-24,kubernetes/kubernetes,v1.17.1,v1.17.1,2020-01-14 22:21:15,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.1
2020-12-24,kubernetes/kubernetes,v1.18.0-alpha.1,v1.18.0-alpha.1,2019-12-18 10:37:58,https://github.com/kubernetes/kubernetes/releases/tag/v1.18.0-alpha.1
2020-12-24,kubernetes/kubernetes,v1.14.10,v1.14.10,2019-12-11 18:40:51,https://github.com/kubernetes/kubernetes/releases/tag/v1.14.10
2020-12-24,kubernetes/kubernetes,v1.16.4,v1.16.4,2019-12-11 18:38:02,https://github.com/kubernetes/kubernetes/releases/tag/v1.16.4
2020-12-24,kubernetes/kubernetes,v1.15.7,v1.15.7,2019-12-11 18:37:50,https://github.com/kubernetes/kubernetes/releases/tag/v1.15.7
2020-12-24,kubernetes/kubernetes,v1.17.0,v1.17.0,2019-12-09 21:10:53,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.0
